doc_idxs,tokens,tags,clidxs,base_forms
ru-2019-1,"Радикальные религиозные группы во главе с Техрик-э-Лабайак Пакистан ране , призывая к расправе над судьями и казни Асии Биби",O O O O O O B_ORG I_ORG O O O O O O O O O B_PER I_PER,O O O O O O B_ORG-Tehreek-e-Labbaik-Pakistan I_ORG-Tehreek-e-Labbaik-Pakistan O O O O O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O O O Техрик-э-Лабайак Пакистан O O O O O O O O O Асия Биби
ru-2019-1,Правительство сначала прошло на уступки и обещало закрыть Биби ов беспорядков .,O O O O O O O O B_PER O O O,O O O O O O O O B_PER-Asia-Bibi O O O,O O O O O O O O Биби O O O
ru-1003,Об этом сообщает агентство Рейтер,O O O O B_ORG,O O O O B_ORG-Reuters,O O O O Рейтер
ru-1003,Сегодня премьер Тереза Мэй у .,O O B_PER I_PER O O,O O B_PER-Theresa-May I_PER-Theresa-May O O,O O Тереза Мэй O O
ru-1003,О преемнике будет объявлено позже .,O O O O O O,O O O O O O,O O O O O O
ru-1003,Мэй поблагодарила Джонсона рится в официальном заявлении Даунинг-Стрит,B_PER O B_PER O O O O B_LOC,B_PER-Theresa-May O B_PER-Boris-Johnson O O O O B_LOC-Downing-Street,Мэй O Джонсон O O O O Даунинг-Стрит
ru-1003,"Борис Джонсон стал вторым министром , покинувшим пост на фоне обсуждения правительством деталей плана выхода Великобритании",B_PER I_PER O O O O O O O O O O O O O B_LOC,B_PER-Boris-Johnson I_PER-Boris-Johnson O O O O O O O O O O O O O B_GPE-Great-Britain,Борис Джонсон O O O O O O O O O O O O O Великобритания
ru-1003,Первым это сделал министр по вопросам брекзита,O O O O O O B_EVT,O O O O O O B_EVT-Brexit,O O O O O O брекзит
ru-126,"На улицы пакистанских городов вышли тысячи протестующих , не согласных с решением Верховного суда",O O O O O O O O O O O O B_ORG I_ORG,O O O O O O O O O O O O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan,O O O O O O O O O O O O Верховный суд
ru-126,"Об этом сообщает Демонстранты перекрывают дороги , поджигают рикши и машины .",O O O O O O O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
ru-126,"Из-за беспорядков образовались заторы , мешающие работе экстренных служб .",O O O O O O O O O O,O O O O O O O O O O,O O O O O O O O O O
ru-126,Власти закрыли школы в большинстве населенных пунктов страны .,O O O O O O O O O,O O O O O O O O O,O O O O O O O O O
ru-126,Протестующие бьют палками и кидают обувь в расклеенные на улицах портреты премьер-министра Имрана Хана,O O O O O O O O O O O O B_PER I_PER,O O O O O O O O O O O O B_PER-Imran-Khan I_PER-Imran-Khan,O O O O O O O O O O O O Имран Хан
ru-126,"«Мы готовы пожертвовать жизнями , отстаивая свои требования , и нам плевать на то , что говорит премьер-министр » , — сказал изданию один из демонстрантов .",O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O
ru-126,"Основная часть тех , кто вышел на улицы , является сторонниками радикальной быстрорастущей партии « Техрик-э-Лабаик",O O O O O O O O O O O O O O O B_ORG,O O O O O O O O O O O O O O O B_ORG-Tehreek-e-Labbaik-Pakistan,O O O O O O O O O O O O O O O Техрик-э-Лабаик
ru-126,Лидеры партии призвали вооруженные силы страны не подчиняться приказам властей по разгону демонстрантов .,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O
ru-126,"В четверг , 1 ноября , радикальные исламистские организации « Джамаат уд-Дава ористом ) и « Джамаат улема-е-ислам",O O O O O O O O O O B_ORG I_ORG O O O O B_ORG I_ORG,O O O O O O O O O O B_ORG-Jamaat-ud-Dawa I_ORG-Jamaat-ud-Dawa O O O O B_ORG-Jamiat-Ulema-e-Islam I_ORG-Jamiat-Ulema-e-Islam,O O O O O O O O O O Джамаат уд-Дава O O O O Джамаат улема-е-ислам
ru-126,Это может серьезно осложнить ситуацию .,O O O O O O,O O O O O O,O O O O O O
ru-126,"Уже известно , что правительство отправило делегацию на переговоры с лидером « Техрик-э-Лабаик",O O O O O O O O O O O O B_ORG,O O O O O O O O O O O O B_ORG-Tehreek-e-Labbaik-Pakistan,O O O O O O O O O O O O Техрик-э-Лабаик
ru-126,В своих публичных выступлениях Ризви требование — смертная казнь для Асии Биби,O O O O B_PER O O O O O B_PER I_PER,O O O O B_PER-Khadim-Hussain-Rizvi O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O Ризви O O O O O Асия Биби
ru-126,"«Наши сидячие протесты не прекратятся до тех пор , пока правительство не примет наши требования » , — сказал он в интервью The Guardian",O O O O O O O O O O O O O O O O O O O O O O B_PRO I_PRO,O O O O O O O O O O O O O O O O O O O O O O B_PRO-The-Guardian I_PRO-The-Guardian,O O O O O O O O O O O O O O O O O O O O O O The Guardian
ru-126,Премьер-министр Пакистана я с визитом в Китае,O B_LOC O O O O B_LOC,O B_GPE-Pakistan O O O O B_GPE-China,O Пакистан O O O O Китай
ru-126,Асия Биби был приговорена к смертной казни в 2010 году .,B_PER I_PER O O O O O O O O O,B_PER-Asia-Bibi I_PER-Asia-Bibi O O O O O O O O O,Асия Биби O O O O O O O O O
ru-126,Причиной для такого приговора стали оскорбления в адрес пророка Мухаммада,O O O O O O O O O B_PER,O O O O O O O O O B_PER-Prophet-Muhammad,O O O O O O O O O Мухаммад
ru-126,Инцидент произошел в 2009 году во время сбора урожая фруктов .,O O O O O O O O O O O,O O O O O O O O O O O,O O O O O O O O O O O
ru-126,Группа женщин обвинила Биби оды из общего ведра и тем самым сделала ее нечистой своей христианской верой .,O O O B_PER O O O O O O O O O O O O O O,O O O B_PER-Asia-Bibi O O O O O O O O O O O O O O,O O O Биби O O O O O O O O O O O O O O
ru-126,"Прокуроры утверждали , что во время последовавшей ссоры женщины сказали , что Биби в адрес пророка .",O O O O O O O O O O O O B_PER O O O O,O O O O O O O O O O O O B_PER-Asia-Bibi O O O O,O O O O O O O O O O O O Биби O O O O
ru-126,Верховный суд оправдал Асию Биби основано на неубедительных свидетельствах и нарушениях процедурных норм .,B_ORG I_ORG O B_PER I_PER O O O O O O O O O,B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O B_PER-Asia-Bibi I_PER-Asia-Bibi O O O O O O O O O,Верховный суд O Асия Биби O O O O O O O O O
ru-126,"Личное признание в богохульстве Биби й ее убить , отмечали в суде .",O O O O B_PER O O O O O O O O,O O O O B_PER-Asia-Bibi O O O O O O O O,O O O O Биби O O O O O O O O
ru-126,В 2011 году после выступления в защиту осужденной христианки и призыва отменить закон о богохульстве был убит губернатор Пенджаба,O O O O O O O O O O O O O O O O O O B_LOC,O O O O O O O O O O O O O O O O O O B_GPE-Punjab,O O O O O O O O O O O O O O O O O O Пенджаб
ru-126,"Его убийца , Мумтаз Кадри повешен , но стал культовой фигурой .",O O O B_PER I_PER O O O O O O O,O O O B_PER-Mumtaz-Qadri I_PER-Mumtaz-Qadri O O O O O O O,O O O Мумтаз Кадри O O O O O O O
ru-126,"На его похороны пришли сто тысяч человек , а одна из мечетей на окраине Исламабада",O O O O O O O O O O O O O O B_LOC,O O O O O O O O O O O O O O B_GPE-Islamabad,O O O O O O O O O O O O O O Исламабад
ru-126,Ранее с призывом помиловать Биби щались Папа Римский триарх Кирилл,O O O O B_PER O B_PER I_PER O B_PER,O O O O B_PER-Asia-Bibi O B_PER-Benedict-XVI I_PER-Benedict-XVI O B_PER-Kirill-The-Patriarch-of-Moscow-and-all-Ru,O O O O Биби O Папа Римский O Кирилл
ru-126,Несколько стран предложили предоставить осужденной убежище .,O O O O O O O,O O O O O O O,O O O O O O O
ru-126,"Семья Биби говорила , что им , скорее всего , придется покинуть родину .",O B_PER O O O O O O O O O O O O,O B_PER-Asia-Bibi O O O O O O O O O O O O,O Биби O O O O O O O O O O O O
ru-126,Закон «О богохульстве » был принят в Пакистане,O O O O O O O B_LOC,O O O O O O O B_GPE-Pakistan,O O O O O O O Пакистан
ru-126,"За неуважительное отношение к Корану нное лишение свободы , а оскорбительные слова в адрес Мухаммада",O O O O B_PRO O O O O O O O O O B_PER,O O O O B_PRO-The-Quran O O O O O O O O O B_PER-Prophet-Muhammad,O O O O Коран O O O O O O O O O Мухаммад
ru-126,"По этому закону еще ни разу не приводили в исполнение смертный приговор , однако обвиненные в богохульстве часто становятся жертвами религиозных фанатиков .",O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O
ru-126,"Асия Биби была первой женщиной , осужденной по этому закону .",B_PER I_PER O O O O O O O O O,B_PER-Asia-Bibi I_PER-Asia-Bibi O O O O O O O O O,Асия Биби O O O O O O O O O
ru-119,Вторые сутки в Пакистан ссовые протесты .,O O O B_LOC O O O,O O O B_GPE-Pakistan O O O,O O O Пакистан O O O
ru-119,Люди перекрывают улицы и жгут покрышки они недовольны решением Верховного суда сполнения смертного приговора .,O O O O O O O O O B_ORG I_ORG O O O O,O O O O O O O O O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O O O O,O O O O O O O O O Верховный суд O O O O
ru-119,Массовые протесты в Исламабаде других пакистанских городах не утихают уже вторые сутки .,O O O B_LOC O O O O O O O O O,O O O B_GPE-Islamabad O O O O O O O O O,O O O Исламабад O O O O O O O O O
ru-119,"Тысячи людей требуют казни женщины Асии Биби оссорилась с несколькими мусульманками , а те обвинили ее в богохульстве и в оскорблении пророка .",O O O O O B_PER I_PER O O O O O O O O O O O O O O O O,O O O O O B_PER-Asia-Bibi I_PER-Asia-Bibi O O O O O O O O O O O O O O O O,O O O O O Асия Биби O O O O O O O O O O O O O O O O
ru-119,"Сама Биби рждает , что ничего подобного не говорила .",O B_PER O O O O O O O O,O B_PER-Asia-Bibi O O O O O O O O,O Биби O O O O O O O O
ru-119,"Впрочем , ее никто и не слушал : сначала женщину избила толпа , потом отдали под суд , который приговорил ее к смертной казни через повешение .",O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O
ru-119,"Приводить в исполнение приговор не спешили , восемь лет Биби",O O O O O O O O O B_PER,O O O O O O O O O B_PER-Asia-Bibi,O O O O O O O O O Биби
ru-119,Только сейчас вмешался Верховный суд Пакистана и освободил христианку .,O O O B_ORG I_ORG I_ORG O O O O,O O O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O O O O,O O O Верховный суд Пакистана O O O O
ru-119,""" Наконец-то правосудие !",O O O O,O O O O,O O O O
ru-119,Это получилось только благодаря Верховному суду т Асии Биби,O O O O B_ORG I_ORG O B_PER I_PER,O O O O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O B_PER-Asia-Bibi I_PER-Asia-Bibi,O O O O Верховный суд O Асия Биби
ru-119,"Сейчас женщина общается с прессой только через адвокатов , говорит , что теперь хочет как можно скорее покинуть Пакистан",O O O O O O O O O O O O O O O O O O B_LOC,O O O O O O O O O O O O O O O O O O B_GPE-Pakistan,O O O O O O O O O O O O O O O O O O Пакистан
ru-119,И ее можно понять демонстрации с требованием все-таки повесить Биби,O O O O O O O O O B_PER,O O O O O O O O O B_PER-Asia-Bibi,O O O O O O O O O Биби
ru-119,Лидеры радикальных движений исламистов увидели в этом деле возможность заявить о себе .,O O O O O O O O O O O O O,O O O O O O O O O O O O O,O O O O O O O O O O O O O
ru-119,"Сооснователь движение "" Техрик-э-Лайбак Пакистан идет на войну , на очень большую войну .",O O O O B_LOC O O O O O O O O O,O O O O B_GPE-Pakistan O O O O O O O O O,O O O O Пакистан O O O O O O O O O
ru-119,"Будет революция , исламская революция .",O O O O O O,O O O O O O,O O O O O O
ru-119,Мы поднимем флаг святого пророка .,O O O O O O,O O O O O O,O O O O O O
ru-119,"Такие судьи не смогут выйти из своих домов , они не смогут добраться до работы "" .",O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O
ru-119,"Протестующие перекрывают крупные трассы и грозят расправой всем , кто помог освобождению Биби",O O O O O O O O O O O O B_PER,O O O O O O O O O O O O B_PER-Asia-Bibi,O O O O O O O O O O O O Биби
ru-119,В ответ власти запретили собираться группами более четырех человек .,O O O O O O O O O O,O O O O O O O O O O,O O O O O O O O O O
ru-119,"Премьер-министра Пакистан л специальное заявление , в котором говорит , что не допустит бунта .",O B_LOC O O O O O O O O O O O O O,O B_GPE-Pakistan O O O O O O O O O O O O O,O Пакистан O O O O O O O O O O O O O
ru-119,""" Не позволяйте себя обмануть .",O O O O O O,O O O O O O,O O O O O O
ru-119,Все эти люди просто зарабатывают политические очки и увидели возможность сорвать банк .,O O O O O O O O O O O O O,O O O O O O O O O O O O O,O O O O O O O O O O O O O
ru-119,Они не имеют отношения к исламу .,O O O O O O O,O O O O O O O,O O O O O O O
ru-119,И я обращаюсь к этим элементам : даже не пытайтесь напасть на государство .,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O
ru-119,"Если вы только посмеете , вы увидите , как мы ответим "" , подчеркивает премьер .",O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
ru-119,"Но эти слова не смогли остановить протесты на улицах , которые продолжаются до сих пор .",O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
ru-119,"Государство пока не вмешивается : не то решило дать манифестантам время на размышление , не то просто опасается вмешиваться .",O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O
ru-147,"31 октября Верховный суд Пакистана 1-летнюю местную жительницу Асию Биби е пророка Мухаммеда и заявили , что обвинение не доказало вины подсудимой .",O O B_ORG I_ORG I_ORG O O O B_PER I_PER O O B_PER O O O O O O O O O O,O O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O O O B_PER-Asia-Bibi I_PER-Asia-Bibi O O B_PER-Prophet-Muhammad O O O O O O O O O O,O O Верховный суд Пакистана O O O Асия Биби O O Мухаммед O O O O O O O O O O
ru-147,"Признательные показания христианки признали недействительными , так как она давала их под пытками и угрозами .",O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
ru-147,""" Я не могу поверить тому , что слышу .",O O O O O O O O O O,O O O O O O O O O O,O O O O O O O O O O
ru-147,"Меня что , сейчас выпустят ? """,O O O O O O O,O O O O O O O,O O O O O O O
ru-147,- сказала Биби нала вердикт пакистанской Фемиды .,O O B_PER O O O O O,O O B_PER-Asia-Bibi O O O O O,O O Биби O O O O O
ru-147,Она находилась не в зале в момент решения .,O O O O O O O O O,O O O O O O O O O,O O O O O O O O O
ru-147,"Председатель Верховного суда предвидя обострение конфликтов в обществе , запретил прессе обсуждать дело Биби",O B_ORG I_ORG O O O O O O O O O O B_PER,O B_ORG-Supreme-Court-of-Pakistan I_ORG-Supreme-Court-of-Pakistan O O O O O O O O O O B_PER-Asia-Bibi,O Верховный суд O O O O O O O O O O Биби
ru-147,Повороту в деле уже нашли сверхъестественное объяснение .,O O O O O O O O,O O O O O O O O,O O O O O O O O
ru-147,"Один из адвокатов женщины заявил , что ее оправдали "" благодаря Иисусу",O O O O O O O O O O O B_PER,O O O O O O O O O O O B_PER-Jesus-Christ,O O O O O O O O O O O Иисус
ru-147,"Между тем исламистское движение "" Техрик-э Лаббейк цы , если христианка-богохульница будет освобождена , передает CNN",O O O O O B_ORG I_ORG O O O O O O O O B_ORG,O O O O O B_ORG-Tehreek-e-Labbaik-Pakistan I_ORG-Tehreek-e-Labbaik-Pakistan O O O O O O O O B_ORG-CNN,O O O O O Техрик-э Лаббейк O O O O O O O O CNN
ru-147,"В Исламабаде Лахоре протесты , участники которых перекрыли автодороги .",O B_LOC B_LOC O O O O O O O,O B_GPE-Islamabad B_GPE-Lahore O O O O O O O,O Исламабад Лахор O O O O O O O
ru-147,"В ответ власти призвали граждан сидеть дома , чтобы не увеличивать хаос , а полиция запретила массовые акции , ссылаясь на статью 144 уголовно-процессуального кодекса .",O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O
ru-147,"Она предусматривает введение двухмесячного запрета , под который не подпадают только группы из четырех и меньше человек .",O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O
ru-147,В 2009 году в деревне Иттан иби попросили принести воды .,O O O O O B_LOC O O O O O,O O O O O B_GPE-Ittanwali O O O O O,O O O O O Иттан O O O O O
ru-147,"Однако работавшие с ней женщины-мусульманки отказались пить , заявив , что вода была принесена христианкой и , следовательно , она "" нечиста "" .",O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O
ru-147,"Асия стала возражать , но это вызвало среди женщин только большее возбуждение .",B_PER O O O O O O O O O O O O,B_PER-Asia-Bibi O O O O O O O O O O O O,Асия O O O O O O O O O O O O
ru-147,"Об инциденте забыли , однако некоторое время спустя испуганная Биби ман .",O O O O O O O O O B_PER O O,O O O O O O O O O B_PER-Asia-Bibi O O,O O O O O O O O O Биби O O
ru-147,Для ее собственной безопасности женщину отвели в полицейский участок .,O O O O O O O O O O,O O O O O O O O O O,O O O O O O O O O O
ru-147,"Через какое-то время у полицейского участка , где скрывалась Биби тва , которые требовали выдать им на расправу Асию",O O O O O O O O O B_PER O O O O O O O O B_PER,O O O O O O O O O B_PER-Asia-Bibi O O O O O O O O B_PER-Asia-Bibi,O O O O O O O O O Биби O O O O O O O O Асия
ru-147,"Полиция , которая сначала спасла женщине жизнь , зафиксировала факт богохульства , а Асия",O O O O O O O O O O O O O B_PER,O O O O O O O O O O O O O B_PER-Asia-Bibi,O O O O O O O O O O O O O Асия
ru-147,"В 2010 году Биби спитывала с мужем пятерых детей , приговорили к смертной казни .",O O O B_PER O O O O O O O O O O O,O O O B_PER-Asia-Bibi O O O O O O O O O O O,O O O Биби O O O O O O O O O O O
ru-147,"Долгие годы , ожидая в тюрьме исполнения приговора , Биби е обвинили из-за религиозной нетерпимости .",O O O O O O O O O B_PER O O O O O O,O O O O O O O O O B_PER-Asia-Bibi O O O O O O,O O O O O O O O O Биби O O O O O O
ru-147,"Однако адвокат Асии всему виной личная неприязнь , пишет Так или иначе , дело Биби",O O B_PER O O O O O O O O O O O B_PER,O O B_PER-Asia-Bibi O O O O O O O O O O O B_PER-Asia-Bibi,O O Асия O O O O O O O O O O O Биби
ru-147,"Местный имам , который не присутствовал при споре осужденной с мусульманками , выступил против нее .",O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
ru-147,А бывший губернатор провинции Пенджаб пился за Биби,O O O O B_LOC O O B_PER,O O O O B_GPE-Punjab O O B_PER-Asia-Bibi,O O O O Пенджаб O O Биби
ru-147,Но в 2011 году он был застрелен собственным телохранителем за поддержку христианки и критику жестоких законов о богохульстве .,O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O
ru-147,Убийца Мумтаз Кадри полиции и вскоре был казнен .,O B_PER I_PER O O O O O O,O B_PER-Mumtaz-Qadri I_PER-Mumtaz-Qadri O O O O O O,O Мумтаз Кадри O O O O O O
ru-147,"Однако он стал мучеником и героем в глазах мусульманских радикалов , которые стекаются к его могиле в Исламабаде",O O O O O O O O O O O O O O O O O B_LOC,O O O O O O O O O O O O O O O O O B_GPE-Islamabad,O O O O O O O O O O O O O O O O O Исламабад
ru-147,"Министр по делам меньшинств , поддержавший Тасира",O O O O O O B_PER,O O O O O O B_PER-Salmaan-Taseer,O O O O O O Тасир
ru-147,Преследование Асии Биби тианский мир .,O B_PER I_PER O O O,O B_PER-Asia-Bibi I_PER-Asia-Bibi O O O,O Асия Биби O O O
